modelo,examen,perfil,nota_ref,nota_10,nota_bruta,max_score,error_abs,seg_correccion,vram_pico_mb,error
gemma4:12b,prueba_1_aitana,flojo,5.25,8.25,8.25,10.0,3.0,32.04,9540,
gemma4:12b,prueba_1_maria,fuerte,7.25,9.0,9.0,10.0,1.75,36.09,9460,
gemma4:12b,prueba_2_isabel,flojo,6.18,5.53,55.3,100.0,0.65,61.38,9550,
gemma4:12b,prueba_2_juana,fuerte,7.37,6.67,66.7,100.0,0.7,61.62,9489,
gemma4:12b,prueba_3_alejandro,fuerte,9.5,9.25,9.25,10.0,0.25,35.65,9485,
gemma4:12b,prueba_3_juan,flojo,5.5,6.0,6.0,10.0,0.5,32.37,9478,
qwen3:8b,prueba_1_aitana,flojo,5.25,8.0,8.0,10.0,2.75,62.27,8101,
qwen3:8b,prueba_1_maria,fuerte,7.25,8.25,8.25,10.0,1.0,60.01,8138,
qwen3:8b,prueba_2_isabel,flojo,6.18,5.3,53.0,100.0,0.88,137.78,8160,
qwen3:8b,prueba_2_juana,fuerte,7.37,5.6,56.0,100.0,1.77,65.39,8127,
qwen3:8b,prueba_3_alejandro,fuerte,9.5,9.0,9.0,10.0,0.5,44.99,8128,
qwen3:8b,prueba_3_juan,flojo,5.5,7.5,7.5,10.0,2.0,46.82,8126,
